customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3583-EKAPL,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,55.0,55,1
1304-BCCFO,1,0,1,0,9,1,0,1,0,0,1,0,1,1,0,1,0,70.05,564.4,0
4104-PVRPS,1,0,1,0,24,1,0,1,1,0,0,1,0,0,0,0,0,53.6,1315.35,0
3780-DDGSE,1,1,1,1,35,1,0,1,0,1,0,1,1,1,0,1,0,76.05,2747.2,0
4431-EDMIQ,0,0,1,1,7,1,0,1,1,1,1,1,1,0,0,1,0,75.7,554.05,0
3649-JPUGY,1,0,0,0,72,1,1,1,0,1,1,1,1,1,2,1,1,88.6,6201.95,0
6778-YSNIH,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,1,0,59.0,114.15,0
5756-OZRIO,1,1,1,0,61,1,1,1,0,1,0,0,0,1,1,0,1,64.05,3902.6,0
4134-BSXLX,1,0,1,0,28,1,0,1,1,1,0,1,0,0,0,0,0,60.9,1785.65,0
3957-HHLMR,0,0,1,1,70,1,1,1,1,0,0,0,0,1,1,0,1,65.2,4543.15,0
5736-YEJAX,1,0,0,1,69,1,1,1,1,1,1,1,1,0,2,1,1,79.45,5502.55,0
3482-ABPKK,0,0,0,0,28,1,0,1,1,0,0,1,0,0,1,0,0,54.3,1546.3,0
4109-CYRBD,1,1,1,0,29,1,1,1,0,0,0,0,0,0,0,1,0,51.6,1442,0
5844-QVTAT,0,0,1,1,33,1,0,1,1,1,1,0,0,0,1,1,0,58.45,1955.4,0
5394-MEITZ,0,0,1,1,60,1,0,1,0,1,1,1,1,1,2,1,1,80.6,4946.7,0
2782-LFZVW,0,0,0,0,11,1,1,1,0,0,0,0,0,1,0,1,0,58.95,601.6,0
5791-KAJFD,0,0,1,1,56,1,1,1,1,0,1,0,0,1,1,1,1,68.75,3808,0
1154-HYWWO,1,0,0,0,38,1,0,1,1,1,0,1,1,0,1,0,0,70.6,2708.2,0
3716-UVSPD,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,49.3,49.3,0
3701-SFMUH,1,0,1,1,7,1,0,1,1,0,0,0,1,1,0,0,1,69.7,516.15,0
7319-VENRZ,1,0,0,0,7,1,0,1,0,0,1,1,1,0,0,0,1,64.3,445.95,0
5846-NEQVZ,1,0,1,1,71,1,0,1,1,0,1,1,0,1,2,1,1,70.85,4973.4,0
5781-RFZRP,1,0,1,0,71,1,1,1,1,1,0,1,1,0,2,0,1,73.5,5357.75,0
7025-WCBNE,1,1,0,0,47,1,1,1,0,1,0,1,0,0,2,0,1,59.6,2754,0
5756-JYOJT,0,0,0,0,11,1,0,1,0,0,1,1,0,1,1,0,1,64.9,697.25,0
9548-LIGTA,1,0,1,0,61,1,0,1,1,1,0,1,1,1,2,1,0,81.05,4747.65,0
4568-KNYWR,1,0,0,0,52,1,0,1,1,1,0,0,1,0,2,1,1,63.25,3342.45,0
0795-LAFGP,1,0,1,1,71,1,1,1,1,1,1,1,1,1,2,0,0,90.4,6668.05,0
0459-SPZHJ,1,0,1,1,63,1,1,1,1,1,1,0,1,1,2,0,1,83.5,5435,0
9244-ZVAPM,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,45.6,45.6,0
0719-SYFRB,0,0,0,0,12,1,1,1,1,0,1,1,0,0,0,1,0,61.65,713.75,1
5172-MIGPM,1,0,0,0,4,1,1,1,0,0,0,1,0,1,0,0,0,65.55,237.2,0
4723-BEGSG,1,0,1,0,72,1,1,1,1,0,1,1,1,1,2,0,1,86.65,6094.25,0
6516-NKQBO,1,0,1,1,38,1,0,1,1,0,1,1,1,1,2,0,1,81.0,3084.9,0
8672-OAUPW,1,0,0,1,51,1,0,1,0,0,0,1,0,0,1,0,1,47.85,2356.75,0
4765-OXPPD,0,0,1,1,9,1,0,1,1,1,1,1,0,0,0,0,0,65.0,663.05,1
7138-GIRSH,1,0,0,0,50,1,1,1,0,0,1,1,0,1,2,0,1,69.5,3418.2,0
9396-ZSFLL,0,0,0,0,15,1,1,1,0,0,0,0,0,0,0,0,0,48.85,631.4,0
9931-KGHOA,0,0,1,0,46,1,1,1,1,0,0,0,0,0,0,0,1,55.0,2473.95,0
1775-KWJKQ,1,0,1,1,72,1,1,1,1,1,1,1,1,1,2,0,1,89.85,6562.9,0
2077-DDHJK,0,0,1,0,68,1,1,1,1,1,1,1,0,0,2,0,1,70.9,4911.35,0
4580-TMHJU,0,0,1,1,43,1,0,1,0,0,0,0,1,0,0,0,0,56.15,2499.3,1
0887-HJGAR,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,45.7,45.7,1
2391-IPLOP,1,0,1,1,50,1,1,1,0,0,1,1,1,0,1,1,0,69.65,3442.15,0
8100-PNJMH,1,0,1,1,68,1,1,1,1,1,1,1,1,1,2,1,1,88.85,6132.7,0
7838-LAZFO,1,0,1,0,45,1,0,1,1,1,1,0,1,1,1,0,1,78.8,3597.5,0
8095-WANWK,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,45.25,428.7,0
9565-FLVCG,1,0,1,1,65,1,1,1,1,1,0,0,0,1,2,1,0,69.55,4459.15,0
3859-CVCET,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,45.65,191.05,1
7501-IWUNG,0,0,1,1,61,1,0,1,0,0,1,1,1,1,2,1,1,73.8,4616.05,0
4957-TREIR,1,0,0,0,3,1,0,1,1,0,0,1,1,0,0,1,1,64.4,195.65,0
1536-HBSWP,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,49.9,49.9,0
0067-DKWBL,1,1,0,0,2,1,0,1,1,0,0,0,0,0,0,1,0,49.25,91.1,1
6663-JOCQO,1,0,1,1,31,1,1,1,1,1,0,1,0,1,1,1,1,75.25,2344.5,0
0078-XZMHT,1,0,1,0,72,1,1,1,0,1,1,1,1,1,2,1,1,85.15,6316.2,0
5896-NPFWW,1,0,1,1,3,1,0,1,0,0,1,0,0,0,0,1,0,50.15,168.15,1
8338-QIUNR,1,0,1,1,72,1,1,1,1,0,1,1,0,0,2,1,1,66.5,4811.6,0
1525-LNLOJ,1,0,1,1,66,1,1,1,0,0,1,0,1,0,2,1,1,63.3,4189.7,0
1456-TWCGB,1,0,0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,49.25,208.45,0
7596-ZYWBB,0,0,0,0,65,1,0,1,1,1,0,1,0,0,2,1,0,59.6,3739.8,0
3347-YJZZE,1,0,1,1,29,1,1,1,0,1,1,0,1,1,0,0,1,80.1,2211.8,0
1589-AGTLK,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,45.35,141.5,1
2753-JMMCV,1,0,0,0,65,1,1,1,0,1,1,1,0,1,2,1,1,74.2,4805.65,0
7503-MIOGA,0,1,1,0,72,1,1,1,1,1,1,1,1,1,2,1,1,89.85,6697.35,0
4381-MHQDC,0,0,0,0,47,1,1,1,1,0,1,1,0,0,2,1,0,65.0,2879.9,0
1635-FJFCC,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,1,44.05,202.15,0
8224-IVVPA,0,0,0,0,27,1,0,1,1,1,0,0,0,0,0,1,0,56.7,1652.95,0
9477-LGWQI,1,0,1,1,70,1,0,1,1,1,1,0,1,1,2,1,1,80.15,5600.15,0
1410-RSCMR,1,0,1,1,7,1,0,1,1,0,1,1,0,1,0,1,1,71.35,515.75,0
1266-NZYUI,0,0,1,1,72,1,1,1,1,0,1,1,0,0,2,0,1,66.85,4758.8,0
3137-NYQQI,1,0,1,0,17,1,0,1,1,1,0,0,0,1,1,0,0,64.8,1175.6,0
0322-CHQRU,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,45.35,89.5,1
5676-CFLYY,1,0,1,1,71,1,0,1,0,1,0,1,1,1,2,1,1,73.35,5154.5,0
7521-AFHAB,0,0,1,1,5,1,0,1,0,0,0,0,0,0,0,0,0,44.8,220.45,0
0285-INHLN,1,0,1,1,27,1,0,1,1,1,0,0,0,0,0,1,1,54.75,1510.3,0
4678-DVQEO,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,52.2,52.2,1
4992-LTJNE,1,0,1,1,72,1,1,1,1,0,0,0,0,0,2,0,1,55.3,3983.6,0
2202-OUTMO,0,0,1,0,34,1,1,1,1,0,0,1,0,0,0,1,1,60.85,2003.6,0
0810-BDHAW,0,0,1,1,24,1,1,1,1,1,0,0,1,1,1,0,0,78.4,1832.4,0
0229-LFJAF,1,0,0,0,72,1,1,1,1,1,1,1,0,0,2,0,1,69.65,4908.25,0
3442-ZHHCC,1,0,0,0,68,1,1,1,1,1,1,0,0,1,1,1,1,76.9,5023,0
9871-ELEYA,0,0,0,1,34,1,0,1,1,0,1,1,1,0,2,0,1,67.65,2339.3,0
5173-WXOQV,1,0,1,0,2,1,0,1,0,1,0,1,0,1,0,1,0,64.2,143.65,0
3174-AKMAS,0,0,1,0,46,1,0,1,0,1,0,1,1,0,2,1,1,64.2,3009.5,0
9926-PJHDQ,0,0,1,1,72,1,1,1,0,0,1,0,1,1,2,1,1,76.8,5468.45,0
7382-DFJTU,1,0,0,0,18,1,0,1,0,0,1,1,0,0,0,0,1,55.2,1058.1,0
5318-YKDPV,1,0,1,1,43,1,0,1,1,0,1,1,1,1,2,1,1,79.15,3566.6,0
0295-QVKPB,1,0,0,0,5,1,0,1,0,0,1,1,1,0,0,1,1,63.95,318.1,0
3487-EARAT,0,0,1,1,70,1,0,1,1,1,1,1,0,1,1,0,1,74.1,5222.3,0
8184-WMOFI,1,0,1,1,62,1,0,1,1,0,1,1,0,1,1,0,1,71.4,4487.3,0
6982-SSHFK,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,44.4,44.4,1
6092-QZVPP,1,0,0,0,36,1,0,1,1,0,1,1,1,1,0,1,1,79.2,2854.95,0
6916-HIJSE,0,0,0,0,65,1,0,1,1,1,1,1,1,1,2,1,1,84.85,5459.2,0
9778-OGKQZ,1,0,1,0,72,1,1,1,1,1,1,1,1,1,2,1,1,92.0,6782.15,0
7408-OFWXJ,0,0,1,1,72,1,1,1,1,1,1,1,1,1,2,0,1,89.8,6510.45,0
2252-NKNSI,1,0,0,1,52,1,1,1,1,1,0,1,1,1,2,1,0,85.15,4461.85,0
7905-TVXTA,0,0,0,0,5,1,0,1,1,0,0,1,1,0,0,1,0,64.35,352.65,0
8374-UULRV,1,0,0,0,72,1,1,1,1,1,0,1,1,1,2,0,1,86.05,6309.65,0
2207-NHRJK,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,50.8,50.8,1
7945-HLKEA,0,0,0,0,60,1,1,1,1,0,1,1,0,0,1,0,0,64.75,4039.5,0
9342-VNIMQ,1,0,0,0,33,1,1,1,0,1,0,0,0,0,0,1,1,54.65,1665.2,0
0379-DJQHR,1,0,1,1,67,1,0,1,1,1,1,0,1,1,2,0,1,81.35,5398.6,0
5543-QDCRY,1,0,0,0,4,1,0,1,0,0,0,0,1,0,0,1,0,56.4,234.85,0
0297-RBCSG,1,0,0,0,19,1,0,1,0,1,0,1,0,1,1,1,1,65.35,1231.85,0
9199-PWQVC,0,0,1,0,63,1,1,1,1,1,0,0,1,1,1,1,1,79.7,4786.15,0
5393-HJZSM,0,0,1,1,32,1,0,1,1,1,1,1,0,1,0,0,1,76.3,2404.15,0
5709-LVOEQ,0,0,1,1,0,1,0,1,1,1,1,0,1,1,2,0,0,80.85, ,0
4208-UFFGW,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,44.95,85.15,1
8467-WYNSR,1,0,0,0,22,1,0,1,1,0,0,1,0,0,0,0,0,55.1,1253.15,0
0851-DFJKB,0,0,0,0,15,1,0,1,1,0,1,1,0,0,0,0,0,58.95,955.15,0
9448-REEVD,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,44.7,44.7,1
8388-FYNPZ,1,0,0,0,4,1,0,1,1,0,1,0,0,0,0,0,0,56.75,245.15,0
4002-BQWPQ,1,0,0,0,25,1,1,1,1,1,1,1,0,1,0,0,1,81.75,2028.8,0
9489-UTFKA,1,1,1,0,8,1,0,1,1,0,0,0,1,0,0,0,1,60.9,551.95,0
4849-PYRLQ,0,1,0,0,56,1,1,1,1,0,1,1,0,1,2,0,1,73.25,4054.2,0
9117-SHLZX,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,45.7,45.7,1
3429-IFLEM,0,0,0,0,71,1,0,1,1,1,1,1,1,0,2,0,1,77.35,5550.1,0
0556-FJEGU,1,0,0,0,58,1,0,1,0,1,1,1,1,0,2,0,1,70.1,4048.95,0
0604-THJFP,0,0,1,1,59,1,0,1,0,1,0,1,1,1,2,1,1,75.95,4542.35,0
6461-PPAXN,0,0,1,1,35,1,0,1,1,0,0,1,0,0,1,1,1,54.95,1916,0
2483-XSSMZ,0,0,0,0,39,1,0,1,1,0,0,0,0,0,1,1,0,47.85,1886.4,0
2604-XVDAM,0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,1,43.8,540.95,0
3234-VKACU,1,0,0,0,2,1,0,1,0,0,0,1,1,1,0,0,0,70.3,132.4,0
0929-HYQEW,1,0,0,0,3,1,0,1,1,0,0,0,0,0,0,1,0,50.15,160.85,0
4065-JJAVA,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,49.5,49.5,0
4695-VADHF,1,0,1,1,18,1,0,1,0,0,1,0,0,1,0,0,0,57.45,990.85,1
3863-IUBJR,1,0,1,1,12,1,0,1,0,0,0,0,0,1,1,0,1,53.65,696.35,1
7649-SIJJF,1,0,1,0,71,1,1,1,1,1,1,1,0,1,2,1,0,80.1,5585.4,0
1452-XRSJV,0,0,1,1,39,1,0,1,1,0,0,0,0,0,0,0,1,51.05,2066,0
3422-WJOYD,1,0,1,0,28,1,0,1,1,0,0,1,0,0,1,0,0,54.35,1426.45,0
1352-VHKAJ,1,0,1,1,27,1,1,1,0,0,0,1,1,1,0,0,1,71.6,1957.1,0
8146-QQKZH,0,0,1,0,71,1,0,1,1,0,1,1,1,1,2,0,1,81.85,5924.4,0
3354-OADJP,0,0,0,0,8,1,0,1,1,0,0,1,0,0,1,0,1,54.25,447.75,0
0810-DHDBD,0,0,0,0,52,1,1,1,1,0,1,1,1,0,1,0,1,74.0,3877.65,0
4026-SKKHW,1,0,0,0,3,1,0,1,0,0,0,1,0,0,0,1,0,50.25,152.3,0
7013-PSXHK,0,0,0,0,40,1,1,1,0,0,1,1,1,1,1,1,0,80.75,3208.65,0
1730-VFMWO,0,0,1,0,34,1,0,1,0,0,0,1,0,0,0,0,1,50.2,1815.3,0
7143-BQIBA,1,0,0,0,10,1,0,1,1,0,0,1,1,0,0,0,1,62.25,612.95,0
3800-LYTRK,0,0,0,0,14,1,0,1,1,0,0,1,0,0,1,0,0,55.7,795.15,0
8883-GRDWQ,1,1,0,0,20,1,0,1,1,0,0,1,0,0,1,0,0,54.0,1055.9,0
3097-NNSPB,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,1,49.05,91.1,1
5832-TRLPB,1,0,0,0,29,1,0,1,0,0,1,1,1,1,1,1,1,75.35,2243.9,0
8590-YFFQO,1,0,1,0,70,1,0,1,1,1,1,1,0,0,2,0,1,64.95,4523.25,0
